0, 0.0005204677581787109,			1.3179,1.3176,1.3249,1.4105,1.2256,0.9002,0.4259
1, 0.0005204677581787109,			1.3274,1.3222,1.3119,1.3258,1.3234,1.3199,-0.0085
2, 0.0005204677581787109,			1.3303,1.3111,1.3363,1.3147,1.3239,1.3178,0.0024
3, 0.0005204677581787109,			1.2927,1.3622,3.5126,-0.8744,1.3069,1.2869,0.0558
4, 0.0005204677581787109,			-0.0014,-3.5107,1.3214,1.3228,1.3245,1.3043,-0.0011
5, 0.0005204677581787109,			-4.8427,1.3125,1.3297,1.317,1.3217,1.327,-0.0015
6, 0.0005204677581787109,			1.3314,1.3222,1.3144,1.3193,1.3256,1.3176,0.0011
7, 0.0005204677581787109,			-6.2867,4.0252,-1.3384,4.0226,-0.4214,1.7592,-0.0013
0, 0.5261709690093994,			1.323,1.3177,1.3095,1.431,1.2205,0.9002,0.4207
1, 0.5261709690093994,			1.3274,1.3222,1.3119,1.3258,1.3285,1.3097,0.0017
2, 0.5261709690093994,			1.3201,1.3111,1.3312,1.3198,1.3239,1.3127,0.0076
3, 0.5261709690093994,			1.2978,1.3571,3.5177,-0.8795,1.3172,1.2767,0.0609
4, 0.5261709690093994,			-0.0014,-3.5107,1.3214,1.3177,1.3245,1.3094,-0.0011
5, 0.5261709690093994,			-4.8427,1.3125,1.3297,1.317,1.3217,1.327,-0.0015
6, 0.5261709690093994,			1.3263,1.3222,1.3144,1.3142,1.3307,1.3227,-0.004
7, 0.5261709690093994,			-6.2816,4.0201,-1.3435,4.0277,-0.4214,1.7592,-0.0064
0, 1.0701618194580078,			1.3179,1.3228,1.3197,1.4105,1.2256,0.9053,0.4207
1, 1.0701618194580078,			1.3274,1.3222,1.3119,1.3258,1.3285,1.3148,-0.0033
2, 1.0701618194580078,			1.3252,1.3162,1.3312,1.3147,1.3239,1.3178,0.0024
3, 1.0701618194580078,			1.2927,1.3622,3.5126,-0.8744,1.3069,1.2869,0.0507
4, 1.0701618194580078,			-0.0065,-3.5158,1.3265,1.3228,1.3194,1.3094,-0.0011
5, 1.0701618194580078,			-4.8427,1.3176,1.3246,1.317,1.3217,1.3218,0.0036
6, 1.0701618194580078,			1.3263,1.3222,1.3144,1.3193,1.3256,1.3227,-0.004
7, 1.0701618194580078,			-6.2714,4.0201,-1.3384,4.0226,-0.4265,1.7643,-0.0064
0, 1.65390944480896,			1.323,1.3177,1.3146,1.4157,1.2308,0.9104,0.4105
1, 1.65390944480896,			1.3325,1.3171,1.3119,1.3258,1.3234,1.3148,0.0017
2, 1.65390944480896,			1.3252,1.3162,1.3261,1.3198,1.3239,1.3178,0.0024
3, 1.65390944480896,			1.2876,1.3673,3.5126,-0.8744,1.312,1.2818,0.0558
4, 1.65390944480896,			-0.0014,-3.5107,1.3214,1.3228,1.3194,1.3094,-0.0011
5, 1.65390944480896,			-4.8427,1.3125,1.3297,1.3221,1.3166,1.3218,0.0036
6, 1.65390944480896,			1.3263,1.3222,1.3144,1.3193,1.3256,1.3227,-0.004
7, 1.65390944480896,			-6.2816,4.0252,-1.3487,4.0277,-0.4265,1.7643,-0.0013
0, 2.354637861251831,			1.3179,1.3228,1.3146,1.4157,1.2308,0.9002,0.4207
1, 2.354637861251831,			1.3274,1.3222,1.3119,1.3258,1.3285,1.3148,-0.0033
2, 2.354637861251831,			1.3252,1.3162,1.3261,1.3249,1.3188,1.3178,0.0024
3, 2.354637861251831,			1.2927,1.3571,3.5177,-0.8693,1.3018,1.292,0.0507
4, 2.354637861251831,			-0.0014,-3.5107,1.3214,1.3228,1.3194,1.3094,-0.0011
5, 2.354637861251831,			-4.8427,1.3176,1.3246,1.3221,1.3217,1.3219,-0.0015
6, 2.354637861251831,			1.3211,1.3222,1.3144,1.3193,1.3256,1.3176,0.0011
7, 2.354637861251831,			-6.2765,4.0252,-1.3435,4.0277,-0.4316,1.7644,0.0038
0, 2.8818130493164062,			1.323,1.3177,1.3146,1.4157,1.2308,0.9053,0.4156
1, 2.8818130493164062,			1.3274,1.3171,1.3119,1.3258,1.3234,1.3199,-0.0033
2, 2.8818130493164062,			1.3252,1.3162,1.3261,1.3198,1.3239,1.3127,0.0076
3, 2.8818130493164062,			1.2927,1.3571,3.5177,-0.8795,1.3121,1.2869,0.0507
4, 2.8818130493164062,			-0.0014,-3.5107,1.3214,1.3177,1.3245,1.3094,-0.0011
5, 2.8818130493164062,			-4.8427,1.3125,1.3349,1.317,1.3166,1.3218,0.0036
6, 2.8818130493164062,			1.3263,1.3222,1.3144,1.3244,1.3256,1.3176,-0.004
7, 2.8818130493164062,			-6.2765,4.0201,-1.3384,4.0226,-0.4316,1.7695,-0.0013
0, 3.5368475914001465,			1.3179,1.3228,1.3197,1.4105,1.2256,0.9207,0.4054
1, 3.5368475914001465,			1.3325,1.3171,1.3119,1.3258,1.3234,1.3199,-0.0033
2, 3.5368475914001465,			1.3252,1.3162,1.3261,1.3198,1.3239,1.3178,0.0024
3, 3.5368475914001465,			1.2927,1.3571,3.5177,-0.8744,1.3069,1.2869,0.0507
4, 3.5368475914001465,			-0.0065,-3.5107,1.3214,1.3228,1.3194,1.3094,-0.0011
5, 3.5368475914001465,			-4.8427,1.3125,1.3297,1.317,1.3217,1.3218,0.0036
6, 3.5368475914001465,			1.3263,1.3222,1.3144,1.3193,1.3256,1.3227,-0.004
